CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
800,Ilimane  Diop,Center,2.10,04/04/1995,Spain,http://www.acb.com/jugador.php?id=800
H05,Goran Huskic,Center,2.10,26/03/1992,Serbia,http://www.acb.com/jugador.php?id=H05
276,Sergi Garcia,Guard,1.93,17/02/1997,Spain,http://www.acb.com/jugador.php?id=276
764,Jose M. Gonzalez,Center,2.06,15/08/1991,Spain,http://www.acb.com/jugador.php?id=764
8C4,Alberto Abalde,Forward,2.02,15/12/1995,Spain,http://www.acb.com/jugador.php?id=8C4
H52,Nemanja Radovic,Center,2.08,11/11/1991,Montenegro,http://www.acb.com/jugador.php?id=H52
SHU,Mamadou Niang,Center,2.09,01/01/1994,Senegal,http://www.acb.com/jugador.php?id=SHU
XEU,J. Barreiro,Forward,2.05,16/01/1997,Spain,http://www.acb.com/jugador.php?id=XEU
1E4,Santiago Yusta,Forward,2.00,28/04/1997,Spain,http://www.acb.com/jugador.php?id=1E4
1L3,Sadiel Rojas,Forward,1.98,16/07/1989,Dominican Rep.,http://www.acb.com/jugador.php?id=1L3
1LQ,Clevin Hannah,Guard,1.79,15/11/1987,Senegal,http://www.acb.com/jugador.php?id=1LQ
1LM,Goran Suton,Center,2.08,11/08/1985,Croatia,http://www.acb.com/jugador.php?id=1LM
1LU,Facu Campazzo,Guard,1.81,23/03/1991,Spain,http://www.acb.com/jugador.php?id=1LU
1L9,Jonas Maciulis,Forward,1.98,10/02/1985,Lithuania,http://www.acb.com/jugador.php?id=1L9
